mlb_api_id,team_abbreviation,status,2026,acquired
682988,GIL,O1,0.4,T 11/23 (GIL)
663604,SPR,O1,0.5,R5 2025 (MAI)/D 2018
666157,SHS,A1,6.056198,D2019
679845,SIL,O2,0.5,T 10/22 (BBS)
669674,SAN,A2,4,D 2016
675920,WYO,O1,0.5,R5 2025 (GIL)/D 2021
694388,LRR,O2,0.6,D 2021
605347,EMP,FA1,3.559812,D 2011
625643,MEM,FA4,5,FA 1/26
641154,SAN,FA4,15.986431,T 10/17 (MIN)
672640,SIL,FA1,10.27824,FA 1/25
682052,SPR,O1,0.5,T 11/25 (GIL)
695418,PON,O1,0.5,D 2023
547179,SIL,FA1,11.928204,FA 1/26
702795,CHI,O,0,D 2021
666139,MAI,A2,0.8181064,T 7/17 (SIL)
663993,SAN,FA1,9.9816,D 2016
664040,SAN,FA1,5.4043728,D 2016
664192,SAN,FA1,0.74,FA 8/25
682617,MAI,O2,0,D 2019
683090,RIV,O1,0.4,D 2019
607625,SHS,FA2,16.481378,FA 1/26
664770,LAK,FA1,1.85055852,FA 1/25
666158,PTR,A3,1.151513,D 2016
